Name;2001;2021
Alto Minho;112.7;104.6
Cavado;316.1;336.3
Ave;293.9;289.1
area Metropolitana do Porto;848.9;857.1
Alto Tamega;35.7;28.8
Tamega e Sousa;236.8;223.6
Douro;54.6;45.7
Terras de Tras-os-Montes;22.9;19.4
Oeste;153;166.2
Regiao de Aveiro;215.9;219.3
Regiao de Coimbra;108.8;101.4
Regiao de Leiria;117.8;118
Viseu Dao Lafoes;85.1;78.5
Beira Baixa;20.4;17.6
Medio Tejo;76.1;68.9
Beiras e Serra da Estrela;40.9;33.5
area Metropolitana de Lisboa;899.6;956.5
Alentejo Litoral;18.8;18.4
Baixo Alentejo;15.8;13.5
Leziria do Tejo;56.4;55.9
Alto Alentejo;20.8;17.3
Alentejo Central;23.5;20.8
Algarve;79.5;94
Ilha de Santa Maria;57.6;56.3
Ilha de Sao Miguel;177;180.5
Ilha Terceira;139.6;133.6
Ilha Graciosa;78.8;67.6
Ilha de Sao Jorge;39.6;34.7
Ilha do Pico;33.2;31.6
Ilha do Faial;87.1;83.4
Ilha das Flores;28.3;24.6
Ilha do Corvo;24.8;23.4
Ilha da Madeira;324.4;325.8
Ilha de Porto Santo;112.7;121.5
