DICO;Nome;NOME_M;X;Y;Validada;Dens_pop_municipal_maiusculas_2001;Dens_pop_municipal_maiusculas_2021
1609;Abrantes;ABRANTES;-5552;-22570;Sim;58.9;48.1
303;Águeda;ÁGUEDA;-26962;100969;Sim;146.1;138.4
1312;Aguiar da Beira;AGUIAR DA BEIRA;49119;127800;Sim;30.1;25.8
1823;Alandroal;ALANDROAL;62982;-107011;Sim;12;9.3
603;Albergaria-A-Velha;ALBERGARIA-A-VELHA;-30362;113926;Sim;158.8;158
1009;Albufeira;ALBUFEIRA;-10633;-286181;Sim;226;316.7
1714;Alcácer do Sal;ALCÁCER DO SAL;-32996;-143483;Sim;9.5;7.5
502;Alcanena;ALCANENA;-46504;-23272;Sim;114.6;98.6
1214;Alcobaça;ALCOBAÇA;-72813;-12785;Sim;136.3;136
1106;Alcochete;ALCOCHETE;-72354;-101176;Sim;99.3;150.9
805;Alcoutim;ALCOUTIM;57845;-243906;Sim;6.5;4.4
402;Alenquer;ALENQUER;-76254;-67854;Sim;128.8;148.9
1416;Alfândega da Fé;ALFÂNDEGA DA FÉ;97284;186488;Sim;18.4;13.4
705;Alijó;ALIJÓ;55003;178862;Sim;47.8;35.3
1512;Aljezur;ALJEZUR;-59790;-260640;Sim;16.4;19
205;Aljustrel;ALJUSTREL;-3247;-198841;Sim;22.9;19.4
105;Almada;ALMADA;-89184;-109225;Sim;2296.6;2543.1
907;Almeida;ALMEIDA;103253;118167;Sim;16.2;11.3
1010;Almeirim;ALMEIRIM;-42632;-50931;Sim;99.1;100.1
1015;Almodôvar;ALMODÔVAR;5971;-239290;Sim;10.5;8.7
302;Alpiarça;ALPIARÇA;-39132;-45271;Sim;83;73.8
308;Alter do Chão;ALTER DO CHÃO;40352;-51970;Sim;10.9;8.6
107;Alvaiázere;ALVAIÁZERE;-21752;17444;Sim;52.5;39.2
1311;Alvito;ALVITO;12125;-156739;Sim;10;8.7
605;Amadora;AMADORA;-96249;-100591;Sim;7375.5;7262
1703;Amarante;AMARANTE;4291;178207;Sim;197.4;173.2
1805;Amares;AMARES;-18536;217933;Sim;226.1;229
503;Anadia;ANADIA;-25646;85573;Sim;145.1;128.2
1418;Ansião;ANSIÃO;-26195;27064;Sim;77.8;66.6
1401;Arcos de Valdevez;ARCOS DE VALDEVEZ;-24637;241820;Sim;55.2;46.4
1006;Arganil;ARGANIL;6293;61085;Sim;40.8;33.6
1503;Armamar;ARMAMAR;36569;160183;Sim;63.5;48.9
1207;Arouca;AROUCA;-9683;139947;Sim;73.6;64.2
814;Arraiolos;ARRAIOLOS;12276;-105185;Sim;11.2;9.8
813;Arronches;ARRONCHES;72928;-60340;Sim;10.7;8.9
811;Arruda Dos Vinhos;ARRUDA DOS VINHOS;-82648;-75617;Sim;134.6;182.9
807;Aveiro;AVEIRO;-44024;107813;Sim;367.9;414.8
1308;Avis;AVIS;20771;-68049;Sim;8.6;6.3
1313;Azambuja;AZAMBUJA;-64114;-66049;Sim;81.5;82.8
306;Baião;BAIÃO;7776;165737;Sim;127.8;100.6
1316;Barcelos;BARCELOS;-40543;207280;Sim;322.1;308.6
307;Barrancos;BARRANCOS;101086;-170025;Sim;11.4;9
1303;Barreiro;BARREIRO;-81962;-111300;Sim;2466.9;2164.4
1309;Batalha;BATALHA;-59766;-895;Sim;146.2;152
1301;Beja;BEJA;23509;-183620;Sim;31.2;29.3
1310;Belmonte;BELMONTE;66269;76773;Sim;63.7;52.1
1315;Benavente;BENAVENTE;-58929;-76174;Sim;44.7;58.1
1304;Bombarral;BOMBARRAL;-88890;-43929;Sim;145.3;142.8
1317;Borba;BORBA;58500;-95588;Sim;53.5;44.6
1306;Boticas;BOTICAS;38577;224417;Sim;19.9;15.4
113;Braga;BRAGA;-24479;208805;Sim;900.1;1061
115;Bragança;BRAGANÇA;112711;237899;Sim;29.6;29.6
119;Cabeceiras de Basto;CABECEIRAS DE BASTO;11684;205363;Sim;73.6;64.4
110;Cadaval;CADAVAL;-83989;-46765;Sim;80.3;78.2
101;Caldas da Rainha;CALDAS DA RAINHA;-86423;-28525;Sim;191.4;201.8
1821;Caminha;CAMINHA;-58768;245449;Sim;124.1;116.6
602;Campo Maior;CAMPO MAIOR;91514;-72235;Sim;34;32.7
1421;Cantanhede;CANTANHEDE;-39173;75391;Sim;96.7;88
