Nome;2001;2021
ARCOS DE VALDEVEZ;55.2;46.4
CAMINHA;124.1;116.6
MELGAÇO;41.9;32.5
MONÇÃO;94.3;84.7
PAREDES DE COURA;69.1;63
PONTE DA BARCA;70.6;60.9
PONTE DE LIMA;138.1;128.8
VALENÇA;120.9;117.4
VIANA DO CASTELO;278.2;269.9
VILA NOVA DE CERVEIRA;81.8;82.7
AMARES;226.1;229
BARCELOS;322.1;308.6
BRAGA;900.1;1061
ESPOSENDE;349.8;372.3
TERRAS DE BOURO;29.9;23
VILA VERDE;204.1;204.6
CABECEIRAS DE BASTO;73.6;64.4
FAFE;240.5;221.5
GUIMARÃES;660.1;651.1
MONDIM DE BASTO;49.6;37.5
PÓVOA DE LANHOSO;171.3;163.4
VIEIRA DO MINHO;67.1;55.6
VILA NOVA DE FAMALICÃO;633.7;665.1
VIZELA;956.2;973.1
AROUCA;73.6;64.2
ESPINHO;1593.1;1486.6
GONDOMAR;1250.3;1253.1
MAIA;1450.8;1645.8
MATOSINHOS;2704.6;2786.6
OLIVEIRA DE AZEMÉIS;432.2;413
PAREDES;534.2;541.2
PORTO;6310.5;5660
PÓVOA DE VARZIM;773;788.4
SANTA MARIA DA FEIRA;632.5;636
SANTO TIRSO;534;496.7
SÃO JOÃO DA MADEIRA;2651.1;2836.2
TROFA;519.2;539.3
VALE DE CAMBRA;168.8;144.7
VALONGO;1138.8;1275.7
VILA DO CONDE;500.5;547.9
VILA NOVA DE GAIA;1715.4;1813.1
BOTICAS;19.9;15.4
CHAVES;73.7;63.6
MONTALEGRE;15.7;11.5
RIBEIRA DE PENA;33.9;27
VALPAÇOS;35.4;26.7
VILA POUCA DE AGUIAR;34.2;27.1
AMARANTE;197.4;173.2
BAIÃO;127.8;100.6
CASTELO DE PAIVA;150.8;135
CELORICO DE BASTO;112.9;97.7
CINFÃES;92.6;74.3
FELGUEIRAS;498.2;482.5
LOUSADA;465.5;495.2
MARCO DE CANAVESES;259.8;245.9
PAÇOS DE FERREIRA;742.2;785.8
PENAFIEL;338.4;329.3
RESENDE;100.8;81.3
ALIJÓ;47.8;35.3
ARMAMAR;63.5;48.9
CARRAZEDA DE ANSIÃES;27.2;19.6
FREIXO DE ESPADA À CINTA;17;13.3
LAMEGO;169.4;147.1
MESÃO FRIO;183.6;133
MOIMENTA DA BEIRA;50.1;43.1
MURÇA;35.5;27.8
PENEDONO;25.7;20.8
PESO DA RÉGUA;194.5;153.5
SABROSA;44.7;35.5
SANTA MARTA DE PENAGUIÃO;122.1;87.7
SÃO JOÃO DA PESQUEIRA;32.4;25.7
SERNANCELHE;27.2;24.8
TABUAÇO;50.5;37.6
TAROUCA;82.9;73.6
TORRE DE MONCORVO;18.5;12.8
VILA NOVA DE FOZ CÔA;21.2;15.9
VILA REAL;132.7;131.1
ALFÂNDEGA DA FÉ;18.4;13.4
BRAGANÇA;29.6;29.6
MACEDO DE CAVALEIROS;24.9;20.4
MIRANDA DO DOURO;16.5;13.2
MIRANDELA;39.1;32.5
MOGADOURO;14.7;11
VILA FLOR;29.6;22.9
VIMIOSO;11;8.6
VINHAIS;15.2;11.1
ALCOBAÇA;136.3;136
ALENQUER;128.8;148.9
ARRUDA DOS VINHOS;134.6;182.9
BOMBARRAL;145.3;142.8
CADAVAL;80.3;78.2
CALDAS DA RAINHA;191.4;201.8
LOURINHÃ;159.3;181.3
NAZARÉ;182.6;181.8
ÓBIDOS;76.8;86.4
PENICHE;351.4;343.8
SOBRAL DE MONTE AGRAÇO;171.6;208.9
TORRES VEDRAS;178.3;206.9
ÁGUEDA;146.1;138.4
ALBERGARIA-A-VELHA;158.8;158
ANADIA;145.1;128.2
AVEIRO;367.9;414.8
ESTARREJA;259.6;244.6
ÍLHAVO;506.8;542
MURTOSA;129.6;144.9
OLIVEIRA DO BAIRRO;243;269.5
OVAR;374.6;375
SEVER DO VOUGA;101.4;85.1
VAGOS;133.8;140.8
ARGANIL;40.8;33.6
CANTANHEDE;96.7;88
COIMBRA;464.2;443.7
CONDEIXA-A-NOVA;111.2;121.9
FIGUEIRA DA FOZ;165.1;156.6
GÓIS;18.4;14.4
LOUSÃ;114.3;123.6
MEALHADA;187.4;176.1
MIRA;103.5;98.5
MIRANDA DO CORVO;103.5;95.5
MONTEMOR-O-VELHO;111.6;107.9
MORTÁGUA;41.2;35.9
OLIVEIRA DO HOSPITAL;94.1;83.1
PAMPILHOSA DA SERRA;13.1;10.3
PENACOVA;76.9;60.4
PENELA;48.7;40.7
SOURE;78.8;65.3
TÁBUA;63;56.6
VILA NOVA DE POIARES;83.6;82.2
ALVAIÁZERE;52.5;39.2
ANSIÃO;77.8;66.6
BATALHA;146.2;152
CASTANHEIRA DE PÊRA;55.6;40.3
FIGUEIRÓ DOS VINHOS;42.1;30.5
LEIRIA;211.4;229.3
MARINHA GRANDE;192.7;210.6
PEDRÓGÃO GRANDE;34.1;27
POMBAL;89.9;82.2
PORTO DE MÓS;91.8;89.4
AGUIAR DA BEIRA;30.1;25.8
