DICO,NOME,X,Y,Validada,Dens_pop_municipal_2001,Dens_pop_municipal_2021
"1609",VIANA DO CASTELO,"-59546","225821",Sim,,
"0303",BRAGA,"-24479","208805",Sim,,
"1312",PORTO,"-41224","165858",Sim,,
"1823",VISEU,"18510","109785",Sim,,
"0603",COIMBRA,"-24805","60115",Sim,,
"1009",LEIRIA,"-58020","8591",Sim,,
"1714",VILA REAL,"32408","181409",Sim,,
"0502",CASTELO BRANCO,"53612","16702",Sim,,
"1214",PORTALEGRE,"59982","-41656",Sim,,
"1106",LISBOA,"-89311","-102834",Sim,,
"0805",FARO,"17788","-293820",Sim,,
"0402",BRAGANÇA,"112711","237899",Sim,,
"1416",SANTARÉM,"-49719","-46545",Sim,,
"0705",ÉVORA,"18612","-122398",Sim,,
"1512",SETÚBAL,"-66219","-126330",Sim,,
"0205",BEJA,"23509","-183620",Sim,,
"0105",AVEIRO,"-44024","107813",Sim,,
"0907",GUARDA,"73395","97474",Sim,,
"1010",MARINHA GRANDE,"-68510","9464",Sim,,
"1015",POMBAL,"-41994","27718",Sim,,
"0302",BARCELOS,"-40543","207280",Sim,,
"0308",GUIMARÃES,"-13566","196986",Sim,,
"0107",ESPINHO,"-42434","148701",Sim,,
"1311",PENAFIEL,"-12606","170661",Sim,,
"0605",FIGUEIRA DA FOZ,"-61841","54118",Sim,,
"1703",CHAVES,"54936","230402",Sim,,
"1805",LAMEGO,"27308","158604",Sim,,
"0503",COVILHÃ,"53448","68174",Sim,,
"1418",TOMAR,"-23899","-7225",Sim,,
"1401",ABRANTES,"-5552","-22570",Sim,,
"1006",CALDAS DA RAINHA,"-86423","-28525",Sim,,
"1503",ALMADA,"-89184","-109225",Sim,,
"1207",ELVAS,"84011","-87002",Sim,,
"0814",TAVIRA,"43031","-282514",Sim,,
"0813",SILVES,"-27486","-274842",Sim,,
"0811",PORTIMÃO,"-36062","-280557",Sim,,
"0807",LAGOS,"-48310","-284936",Sim,,
"1308",MATOSINHOS,"-46697","168270",Sim,,
"1313",PÓVOA DE VARZIM,"-52763","190513",Sim,,
"0306",ESPOSENDE,"-53745","207090",Sim,,
"1316",VILA DO CONDE,"-51365","187592",Sim,,
"0307",FAFE,"-2877","197882",Sim,,
"1303",FELGUEIRAS,"-5470","188512",Sim,,
"1309",PAÇOS DE FERREIRA,"-20114","178718",Sim,,
"1301",AMARANTE,"4291","178207",Sim,,
"1310",PAREDES,"-16629","170893",Sim,,
"1315",VALONGO,"-31004","169009",Sim,,
"1304",GONDOMAR,"-33626","163890",Sim,,
"1317",VILA NOVA DE GAIA,"-39944","162787",Sim,,
"1306",MAIA,"-40845","173847",Sim,,
"0113",OLIVEIRA DE AZEMÉIS,"-28966","130014",Sim,,
"0115",OVAR,"-41846","132713",Sim,,
"0119",VALE DE CAMBRA,"-22050","131176",Sim,,
"0110",ÍLHAVO,"-45334","103695",Sim,,
"0101",ÁGUEDA,"-26962","100969",Sim,,
"1821",TONDELA,"4489","94237",Sim,,
"0602",CANTANHEDE,"-39173","75391",Sim,,
"1421",OURÉM,"-38119","-1115",Sim,,
"0406",MIRANDA DO DOURO,"154902","204305",Sim,,
"1708",PESO DA RÉGUA,"29209","166375",Sim,,
"1806",MANGUALDE,"31190","104122",Sim,,
"0906",GOUVEIA,"45676","91777",Sim,,
"0912",SEIA,"36406","83634",Sim,,
"0611",OLIVEIRA DO HOSPITAL,"23114","76998",Sim,,
"1414",RIO MAIOR,"-69272","-36328",Sim,,
"1419",TORRES NOVAS,"-35228","-20867",Sim,,
"1403",ALMEIRIM,"-42632","-50931",Sim,,
"1014",PENICHE,"-107403","-33719",Sim,,
"1113",TORRES VEDRAS,"-97422","-63628",Sim,,
"1107",LOURES,"-90221","-92664",Sim,,
"1115",AMADORA,"-96249","-100591",Sim,,
"1504",BARREIRO,"-81962","-111300",Sim,,
"1507",MONTIJO,"-73046","-106453",Sim,,
"0712",VENDAS NOVAS,"-28423","-110280",Sim,,
"0706",MONTEMOR-O-NOVO,"-7420","-113675",Sim,,
"0801",ALBUFEIRA,"-10633","-286181",Sim,,
"0808",LOULÉ,"9812","-280698",Sim,,
"0210",MOURA,"59752","-169213",Sim,,
"1410",ENTRONCAMENTO,"-29036","-22895",Sim,,
"1116",ODIVELAS,"-91085","-96861",Sim,,
"1607",PONTE DE LIMA,"-37784","233063",Sim,,
"0313",VILA VERDE,"-25703","219886",Sim,,
"0301",AMARES,"-18536","217933",Sim,,
"0310",TERRAS DE BOURO,"-15547","227601",Sim,,
"1606",PONTE DA BARCA,"-24386","237283",Sim,,
"0311",VIEIRA DO MINHO,"-1442","218321",Sim,,
"1305",LOUSADA,"-12844","178722",Sim,,
"1302",BAIÃO,"7776","165737",Sim,,
"1704",MESÃO FRIO,"20152","165698",Sim,,
"1813",RESENDE,"13853","159983",Sim,,
"1804",CINFÃES,"3474","155890",Sim,,
"0106",CASTELO DE PAIVA,"-12584","152519",Sim,,
"0104",AROUCA,"-9683","139947",Sim,,
"0102",ALBERGARIA-A-VELHA,"-30362","113926",Sim,,
"0118",VAGOS,"-46687","98505",Sim,,
"0112",MURTOSA,"-43036","118852",Sim,,
"0117",SEVER DO VOUGA,"-20622","118377",Sim,,
"1810",OLIVEIRA DE FRADES,"-4447","118131",Sim,,
"1816",SÃO PEDRO DO SUL,"5128","121283",Sim,,
"1809",NELAS,"23415","95938",Sim,,
"1824",VOUZELA,"1430","117177",Sim,,
"0608",MIRA,"-51336","84514",Sim,,
"0103",ANADIA,"-25646","85573",Sim,,
"0610",MONTEMOR-O-VELHO,"-47744","56258",Sim,,
"0615",SOURE,"-42278","43550",Sim,,
"0604",CONDEIXA-A-NOVA,"-31709","49596",Sim,,
"0613",PENACOVA,"-12978","66896",Sim,,
