Country;Year;fertility;life;population;child_mortality;gdp;region
Afghanistan;1964;7.671;33.639;10474903;339.7;1182;South Asia
Afghanistan;1965;7.671;34.152;10697983;334.1;1182;South Asia
Afghanistan;1966;7.671;34.662;10927724;328.7;1168;South Asia
Afghanistan;1967;7.671;35.17;11163656;323.3;1173;South Asia
Afghanistan;1968;7.671;35.674;11411022;318.1;1187;South Asia
Afghanistan;1969;7.671;36.172;11676990;313;1178;South Asia
Afghanistan;1970;7.671;36.663;11964906;307.8;1174;South Asia
Afghanistan;1971;7.671;37.143;12273101;302.1;1092;South Asia
Afghanistan;1972;7.671;37.614;12593688;296.4;1046;South Asia
Afghanistan;1973;7.671;38.075;12915499;290.8;1137;South Asia
Afghanistan;1974;7.671;38.529;13223928;284.9;1170;South Asia
Afghanistan;1975;7.671;38.977;13505544;279.4;1201;South Asia
Afghanistan;1976;7.67;39.417;13766792;273.6;1231;South Asia
Afghanistan;1977;7.67;39.855;14003408;267.8;1119;South Asia
Afghanistan;1978;7.67;40.298;14179656;261.6;1179;South Asia
Afghanistan;1979;7.669;40.756;14249493;255.5;1155;South Asia
Afghanistan;1980;7.669;41.242;14185729;249.1;1158;South Asia
Afghanistan;1981;7.67;41.77;13984092;242.7;1284;South Asia
Afghanistan;1982;7.671;42.347;13672870;236.2;1402;South Asia
Afghanistan;1983;7.673;42.977;13300056;229.7;1454;South Asia
Afghanistan;1984;7.676;43.661;12931791;222.9;1429;South Asia
Afghanistan;1985;7.679;44.4;12625292;216;1384;South Asia
Afghanistan;1986;7.681;45.192;12372113;209.2;1486;South Asia
Afghanistan;1987;7.682;46.024;12183387;202.1;1230;South Asia
Afghanistan;1988;7.682;46.88;12156685;195;1113;South Asia
Afghanistan;1989;7.682;47.744;12414686;187.8;1087;South Asia
Afghanistan;1990;7.687;48.601;13032161;181;1028;South Asia
Afghanistan;1991;7.7;49.439;14069854;174.2;1022;South Asia
Afghanistan;1992;7.725;50.247;15472076;167.8;941;South Asia
Afghanistan;1993;7.758;51.017;17053213;162;810;South Asia
Afghanistan;1994;7.796;51.738;18553819;156.8;725;South Asia
Afghanistan;1995;7.832;52.4;19789880;152.3;872;South Asia
Afghanistan;1996;7.859;52.995;20684982;148.6;895;South Asia
Afghanistan;1997;7.869;53.527;21299350;145.5;921;South Asia
Afghanistan;1998;7.854;54.009;21752257;142.6;947;South Asia
Afghanistan;1999;7.809;54.449;22227543;139.9;972;South Asia
Afghanistan;2000;7.733;54.863;22856302;137;962;South Asia
Afghanistan;2001;7.623;55.271;23677385;133.8;862;South Asia
Afghanistan;2002;7.484;55.687;24639841;130.3;1053;South Asia
Afghanistan;2003;7.321;56.122;25678639;126.8;1097;South Asia
Afghanistan;2004;7.136;56.583;26693486;123.2;1067;South Asia
Afghanistan;2005;6.93;57.071;27614718;119.6;1146;South Asia
Afghanistan;2006;6.702;57.582;28420974;116.3;1173;South Asia
Afghanistan;2007;6.456;58.102;29145841;113.2;1298;South Asia
Afghanistan;2008;6.196;58.618;29839994;110.4;1311;South Asia
Afghanistan;2009;5.928;59.124;30577756;107.6;1548;South Asia
Afghanistan;2010;5.659;59.612;31411743;105;1637;South Asia
Afghanistan;2011;5.395;60.079;32358260;102.3;1695;South Asia
Afghanistan;2012;5.141;60.524;33397058;99.5;1893;South Asia
Afghanistan;2013;4.9;60.947;34499915;96.7;1884;South Asia
Albania;1964;5.711;65.475;1817098;122.67;3023;Europe & Central Asia
Albania;1965;5.594;65.863;1869942;120.09;3129;Europe & Central Asia
Albania;1966;5.483;66.122;1922993;117.56;3242;Europe & Central Asia
Albania;1967;5.376;66.316;1976140;115.09;3359;Europe & Central Asia
Albania;1968;5.268;66.5;2029314;112.67;3475;Europe & Central Asia
Albania;1969;5.16;66.702;2082474;110.3;3587;Europe & Central Asia
Albania;1970;5.05;66.948;2135599;107.98;3712;Europe & Central Asia
Albania;1971;4.933;67.251;2188650;105.71;3849;Europe & Central Asia
Albania;1972;4.809;67.595;2241623;103.49;3988;Europe & Central Asia
Albania;1973;4.677;67.966;2294578;101.31;4174;Europe & Central Asia
Albania;1974;4.538;68.356;2347607;99.18;4177;Europe & Central Asia
Albania;1975;4.393;68.748;2400801;97.1;4178;Europe & Central Asia
